PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,LAB,SAMPLE_TYPE,SAMPLE_ID,NOT_COLLECTED,MATRIX,BATCH_ID,ANALYTE,RESULT,RESULT_UNITS,MDL,RL,QA_FLAG,NARS_FLAG,DATE_RECEIVED,DATE_ANALYZED,LAB_SAMPLE_ID,LAB_COMMENT
8/13/2024,2020285,NLA_MI-10272,NLA22_MI-10126,1,6/1/2022,MI,GreenWater,MICZ,200864,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,27-200864,
8/13/2024,2020285,NLA_MI-10272,NLA22_MI-10126,1,6/1/2022,MI,GreenWater,MICZ,200864,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,27-200864,
8/13/2024,2020286,NLA_ND-10144,NLA22_ND-10002,1,6/1/2022,ND,GreenWater,MICZ,200664,,WATER,220711-2,MICX,0.11,ug/L,0.1,0.15,J,L,6/30/2022,7/11/2022,7-200664,
8/13/2024,2020286,NLA_ND-10144,NLA22_ND-10002,1,6/1/2022,ND,GreenWater,MICZ,200664,,WATER,220712-2,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,7-200664,
8/13/2024,2020287,NLA_VA-10084,NLA22_VA-10011,1,6/1/2022,VA,GreenWater,MICZ,205264,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,28-205264,
8/13/2024,2020287,NLA_VA-10084,NLA22_VA-10011,1,6/1/2022,VA,GreenWater,MICZ,205264,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,28-205264,
8/13/2024,2020288,NLA_AR-10005,NES22-10123,1,6/1/2022,AR,GreenWater,MICZ,210824,,WATER,220721-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,7/13/2022,7/21/2022,24-210824,
8/13/2024,2020288,NLA_AR-10005,NES22-10123,1,6/1/2022,AR,GreenWater,MICZ,210824,,WATER,220719-1,MICX,0.17,ug/L,0.1,0.15,,,7/13/2022,7/19/2022,24-210824,
8/13/2024,2020289,NLA_LA-10066,NES22-10109,1,6/1/2022,LA,GreenWater,MICZ,216164,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,15-216164,
8/13/2024,2020289,NLA_LA-10066,NES22-10109,1,6/1/2022,LA,GreenWater,MICZ,216164,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,15-216164,
8/13/2024,2020290,NLA_MI-10160,NLA22_MI-10030,1,6/1/2022,MI,GreenWater,MICZ,200804,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,29-200804,
